GEOID,median_rent,median_value,median_income,log_rent,log_value,log_income,mf_share,gentle_density_share,high_density_share,sf_share,renter_share,treated_dupac,minority_share,poverty_rate,bea_monthly_cost
25009205900,1181.0,295600.0,74167.0,7.074116816197362,12.596762468056184,11.214074586292245,0.5118323191345504,0.460446247464503,0.05138607167004733,0.48816768086544965,0.4112676056338028,1,0.5314715359828142,0.2199043893959148,1549.4366666666665
25009206800,733.0,267300.0,27036.0,6.597145701886651,12.49612690212701,10.204924590220244,0.8725369458128078,0.2955665024630542,0.5769704433497537,0.12746305418719212,0.796332678454486,1,0.8197343453510436,0.2507163323782235,1401.0974999999999
25009210300,2060.0,340600.0,55085.0,7.630461261783627,12.738464047210725,10.916632725774166,0.577819392426134,0.02746566791510612,0.5503537245110279,0.3861839367457345,0.44329199549041715,0,0.03668370244179443,0.06391197471614186,1785.3116666666665
25009217600,928.0,576500.0,101964.0,6.833031732786201,13.264730618691251,11.532375088791541,0.21266471449487556,0.0746705710102489,0.13799414348462666,0.7873352855051244,0.23346007604562738,0,0.04581124072110286,0.035839672322995904,3021.820833333333
25009223300,1389.0,511400.0,108116.0,7.236339342754344,13.144907341839223,11.59096000377557,0.1794105083297736,0.05809483126868859,0.12131567706108501,0.8205894916702264,0.14997754827121687,0,0.039313795568263046,0.04040042903110475,2680.588333333333
25009250300,1179.0,259300.0,42353.0,7.072421900537371,12.465740971526756,10.653794535823947,0.762619372442019,0.529331514324693,0.23328785811732605,0.2373806275579809,0.8153846153846154,1,0.8935960591133005,0.18866995073891626,1359.1641666666667
25009252400,1220.0,283000.0,44861.0,7.106606137727303,12.553202176625375,10.711324099399532,0.7801465689540307,0.631578947368421,0.1485676215856096,0.21985343104596936,0.6411845730027548,1,0.8022772060433545,0.2284275076653526,1483.3916666666667
25009251400,1138.0,256500.0,51852.0,7.037027614686276,12.45488394359296,10.856148785719933,0.6488250652741514,0.5391644908616188,0.10966057441253264,0.35117493472584854,0.6263368983957219,1,0.8302069232256817,0.1911648177496038,1344.4875
25009252102,994.0,418600.0,115099.0,6.901737206656574,12.944671088994037,11.653547906574925,0.07066246056782334,0.07066246056782334,0.0,0.9293375394321767,0.05117845117845118,0,0.18774131274131275,0.07287644787644787,2194.1616666666664
25025020200,2040.0,675600.0,88026.0,7.620705086838262,13.423356463915782,11.3853875043677,0.9062631357713324,0.20008406893652794,0.7061790668348046,0.0937368642286675,0.7775718257645968,1,0.12679490652939582,0.1124356542942292,3541.27
